"Model","Recall","Precision","PRAUC"
"Bayes_simpl_down",0.585858585858586,0.858986692320026,0.859569434052922
"Bayes_simpl_down",0.595959595959596,0.861071027737695,0.859569434052922
"Bayes_simpl_down",0.606060606060606,0.863044863044863,0.859569434052922
"Bayes_simpl_down",0.616161616161616,0.865008549219076,0.859569434052922
"Bayes_simpl_down",0.626262626262626,0.866876445823814,0.859569434052922
"Bayes_simpl_down",0.636363636363636,0.868727763464606,0.859569434052922
"Bayes_simpl_down",0.646464646464647,0.87049987049987,0.859569434052922
"Bayes_simpl_down",0.656565656565657,0.872248122248122,0.859569434052922
"Bayes_simpl_down",0.666666666666667,0.873931623931624,0.859569434052922
"Bayes_simpl_down",0.676767676767677,0.871635076966898,0.859569434052922
"Bayes_simpl_down",0.686868686868687,0.862425813928933,0.859569434052922
"Bayes_simpl_down",0.696969696969697,0.853452946269942,0.859569434052922
"Bayes_simpl_down",0.707070707070707,0.844755873219752,0.859569434052922
"Bayes_simpl_down",0.717171717171717,0.83664352939248,0.859569434052922
"Bayes_simpl_down",0.727272727272727,0.828994936328214,0.859569434052922
"Bayes_simpl_down",0.737373737373737,0.821591692094827,0.859569434052922
"Bayes_simpl_down",0.747474747474748,0.814318338418965,0.859569434052922
"Bayes_simpl_down",0.757575757575758,0.810791589363018,0.859569434052922
"Bayes_simpl_down",0.767676767676768,0.808513708513709,0.859569434052922
"Bayes_simpl_down",0.777777777777778,0.793040197833461,0.859569434052922
"Bayes_simpl_down",0.787878787878788,0.775167481729407,0.859569434052922
"Bayes_simpl_down",0.797979797979798,0.749656292395518,0.859569434052922
"Bayes_simpl_down",0.808080808080808,0.724277464470829,0.859569434052922
"Bayes_simpl_down",0.818181818181818,0.713899212434076,0.859569434052922
"Bayes_simpl_down",0.828282828282828,0.705254555069468,0.859569434052922
"Bayes_simpl_down",0.838383838383838,0.707754434882938,0.859569434052922
"Bayes_simpl_down",0.848484848484849,0.705878119176669,0.859569434052922
"Bayes_simpl_down",0.858585858585859,0.689414485071266,0.859569434052922
"Bayes_simpl_down",0.868686868686869,0.672332521471127,0.859569434052922
"Bayes_simpl_down",0.878787878787879,0.653977526558294,0.859569434052922
"Bayes_simpl_down",0.888888888888889,0.643487553087849,0.859569434052922
"Bayes_simpl_down",0.898989898989899,0.643722608857023,0.859569434052922
"Bayes_simpl_down",0.909090909090909,0.645148261586618,0.859569434052922
"Bayes_simpl_down",0.919191919191919,0.647676318909196,0.859569434052922
