"Model","FPR","TPR","AUC"
"LASSO",0.93939393939394,0.988461538461539,0.762949697682234
"LASSO",0.94949494949495,0.990384615384615,0.762949697682234
"LASSO",0.95959595959596,0.990384615384615,0.762949697682234
"LASSO",0.96969696969697,0.990384615384615,0.762949697682234
"LASSO",0.97979797979798,0.990384615384615,0.762949697682234
"LASSO",0.98989898989899,0.990384615384615,0.762949697682234
"LASSO",1,1,0.762949697682234
"Random Forest",0,0,0.74006247900571
"Random Forest",0.0101010101010101,0.0897241647241644,0.74006247900571
"Random Forest",0.0202020202020202,0.148702408702409,0.74006247900571
"Random Forest",0.0303030303030303,0.217773892773893,0.74006247900571
"Random Forest",0.0404040404040404,0.280008417508418,0.74006247900571
"Random Forest",0.0505050505050505,0.330769230769231,0.74006247900571
"Random Forest",0.0606060606060606,0.36210372960373,0.74006247900571
"Random Forest",0.0707070707070707,0.385943349579713,0.74006247900571
"Random Forest",0.0808080808080808,0.412020202020202,0.74006247900571
"Random Forest",0.0909090909090909,0.4247002997003,0.74006247900571
"Random Forest",0.101010101010101,0.442525252525252,0.74006247900571
"Random Forest",0.111111111111111,0.471884840305893,0.74006247900571
"Random Forest",0.121212121212121,0.479046879046879,0.74006247900571
"Random Forest",0.131313131313131,0.493704135370802,0.74006247900571
"Random Forest",0.141414141414141,0.509615384615385,0.74006247900571
"Random Forest",0.151515151515152,0.527026958548698,0.74006247900571
"Random Forest",0.161616161616162,0.543693084693085,0.74006247900571
"Random Forest",0.171717171717172,0.553846153846154,0.74006247900571
"Random Forest",0.181818181818182,0.574509518259518,0.74006247900571
"Random Forest",0.191919191919192,0.582692307692308,0.74006247900571
"Random Forest",0.202020202020202,0.589123607873608,0.74006247900571
"Random Forest",0.212121212121212,0.596693430026763,0.74006247900571
"Random Forest",0.222222222222222,0.605769230769231,0.74006247900571
"Random Forest",0.232323232323232,0.609615384615385,0.74006247900571
"Random Forest",0.242424242424242,0.621153846153846,0.74006247900571
"Random Forest",0.252525252525253,0.633786583786584,0.74006247900571
"Random Forest",0.262626262626263,0.643360763815309,0.74006247900571
"Random Forest",0.272727272727273,0.648076923076923,0.74006247900571
"Random Forest",0.282828282828283,0.651943026943027,0.74006247900571
"Random Forest",0.292929292929293,0.657033678127428,0.74006247900571
"Random Forest",0.303030303030303,0.662950382950383,0.74006247900571
"Random Forest",0.313131313131313,0.672471597471597,0.74006247900571
"Random Forest",0.323232323232323,0.683407703407704,0.74006247900571
"Random Forest",0.333333333333333,0.68786858974359,0.74006247900571
"Random Forest",0.343434343434343,0.695280497280497,0.74006247900571
"Random Forest",0.353535353535354,0.706068497474748,0.74006247900571
"Random Forest",0.363636363636364,0.711538461538462,0.74006247900571
"Random Forest",0.373737373737374,0.721647796647797,0.74006247900571
"Random Forest",0.383838383838384,0.726750537044655,0.74006247900571
"Random Forest",0.393939393939394,0.733345694709331,0.74006247900571
"Random Forest",0.404040404040404,0.741253345420012,0.74006247900571
"Random Forest",0.414141414141414,0.748076923076923,0.74006247900571
"Random Forest",0.424242424242424,0.75,0.74006247900571
"Random Forest",0.434343434343434,0.751923076923077,0.74006247900571
"Random Forest",0.444444444444444,0.752574525745257,0.74006247900571
"Random Forest",0.454545454545455,0.755799825174825,0.74006247900571
"Random Forest",0.464646464646465,0.765384615384615,0.74006247900571
"Random Forest",0.474747474747475,0.77220944260418,0.74006247900571
"Random Forest",0.484848484848485,0.776968107649926,0.74006247900571
"Random Forest",0.494949494949495,0.78388980300745,0.74006247900571
"Random Forest",0.505050505050505,0.785888262971596,0.74006247900571
"Random Forest",0.515151515151515,0.794421134421134,0.74006247900571
"Random Forest",0.525252525252525,0.801923076923077,0.74006247900571
"Random Forest",0.535353535353535,0.809380126046793,0.74006247900571
"Random Forest",0.545454545454546,0.815322912381736,0.74006247900571
"Random Forest",0.555555555555556,0.823076923076923,0.74006247900571
"Random Forest",0.565656565656566,0.830769230769231,0.74006247900571
"Random Forest",0.575757575757576,0.838461538461538,0.74006247900571
"Random Forest",0.585858585858586,0.840384615384615,0.74006247900571
"Random Forest",0.595959595959596,0.844230769230769,0.74006247900571
"Random Forest",0.606060606060606,0.846153846153846,0.74006247900571
"Random Forest",0.616161616161616,0.846153846153846,0.74006247900571
"Random Forest",0.626262626262626,0.851923076923077,0.74006247900571
"Random Forest",0.636363636363636,0.851923076923077,0.74006247900571
"Random Forest",0.646464646464647,0.853847707847708,0.74006247900571
"Random Forest",0.656565656565657,0.859009677191495,0.74006247900571
"Random Forest",0.666666666666667,0.863461538461539,0.74006247900571
"Random Forest",0.676767676767677,0.875436179981635,0.74006247900571
"Random Forest",0.686868686868687,0.876923076923077,0.74006247900571
"Random Forest",0.696969696969697,0.882432983682984,0.74006247900571
"Random Forest",0.707070707070707,0.884615384615385,0.74006247900571
"Random Forest",0.717171717171717,0.888024701396794,0.74006247900571
"Random Forest",0.727272727272727,0.894359212216355,0.74006247900571
"Random Forest",0.737373737373737,0.898076923076923,0.74006247900571
"Random Forest",0.747474747474748,0.90149864024864,0.74006247900571
"Random Forest",0.757575757575758,0.909615384615385,0.74006247900571
"Random Forest",0.767676767676768,0.909615384615385,0.74006247900571
"Random Forest",0.777777777777778,0.913461538461538,0.74006247900571
"Random Forest",0.787878787878788,0.917307692307692,0.74006247900571
"Random Forest",0.797979797979798,0.924907421184017,0.74006247900571
"Random Forest",0.808080808080808,0.927028647680822,0.74006247900571
"Random Forest",0.818181818181818,0.932692307692308,0.74006247900571
"Random Forest",0.828282828282828,0.936189674523008,0.74006247900571
"Random Forest",0.838383838383838,0.940384615384615,0.74006247900571
"Random Forest",0.848484848484849,0.942747668997669,0.74006247900571
"Random Forest",0.858585858585859,0.948502933847762,0.74006247900571
"Random Forest",0.868686868686869,0.951923076923077,0.74006247900571
"Random Forest",0.878787878787879,0.953846153846154,0.74006247900571
